@relation food

@attribute foodName string
@attribute foodQuantity numeric
@attribute averageCookingTime numeric
@attribute averageFoodPerCook numeric
@attribute preparationTime numeric

@data
Syake-Maki,2,700,1,683
Syake-Maki,2,700,1.5,903
Syake-Maki,1,600,3,612
Syake-Maki,2,700,3,849
Syake-Maki,2,700,1,672
Syake-Maki,2,700,1.5,819
Syake-Maki,1,600,2.5,575
Syake-Maki,2,700,2.5,849
Syake-Maki,2,700,1.5,690
Syake-Maki,2,700,1,715
Syake-Maki,1,600,1.6,565
Syake-Maki,2,700,0.83,736
Syake-Maki,2,700,0.76,720
Syake-Maki,2,700,1.2,720




